Early Timeline:
Task	Early Start	Early Finish	Duration	DurEff	Effort	AvgEffortPerPeriod
CUT-01(DS)	0.00	2.00	2.00	2.00	1.00	1.00
SRS-11	0.00	20.57	20.57	5.00	1.00	0.24
CUT-01(CS)	0.00	2.00	2.00	2.00	1.00	1.00
SRS-01	0.00	1.08	1.08	1.08	1.00	1.00
SRS-03	0.00	4.00	4.00	4.00	1.00	1.00
SRS-08	0.00	15.08	15.08	3.16	1.00	0.21
CUT-01(EV)	0.00	2.00	2.00	2.00	1.00	1.00
SRS-04	1.08	7.75	6.67	2.33	1.00	0.35
SRS-02	1.08	5.25	4.17	4.17	1.00	1.00
SRS-05	5.25	7.75	2.50	2.50	1.00	1.00
SDD-01	7.75	20.57	12.82	3.83	1.00	0.30
SRS-06	7.75	11.08	3.33	3.33	1.00	1.00
SRS-07	11.08	15.08	4.00	4.00	1.00	1.00
SRS-09	15.08	16.41	1.33	1.33	1.00	1.00
SRS-10	16.41	20.57	4.16	4.16	1.00	1.00
SRS-12	20.57	22.40	1.83	1.83	1.00	1.00
SDD-02	20.57	26.57	6.00	6.00	1.00	1.00
SDD-03	20.57	35.57	15.00	15.00	1.00	1.00
SDD-04	20.57	22.74	2.17	2.17	1.00	1.00
ATP-01	22.40	23.40	1.00	1.00	1.00	1.00
ATP-02	22.40	24.32	1.92	1.92	1.00	1.00
SDD-05	22.74	24.91	2.17	2.17	1.00	1.00
ATP-04	24.32	28.32	4.00	4.00	1.00	1.00
ATP-03	24.32	28.32	4.00	4.00	1.00	1.00
CUT-03(EV)	24.91	61.58	36.67	36.67	1.00	1.00
CUT-02(DS)	24.91	26.91	2.00	2.00	1.00	1.00
CUT-02(EV)	24.91	26.91	2.00	2.00	1.00	1.00
SDD-06	24.91	27.08	2.17	2.17	1.00	1.00
CUT-02(CS)	24.91	26.91	2.00	2.00	1.00	1.00
CUT-03(CS)	24.91	61.58	36.67	36.67	1.00	1.00
CUT-03(DS)	24.91	55.74	30.83	30.83	1.00	1.00
STP-01	26.57	27.57	1.00	1.00	1.00	1.00
ITP-01	26.57	27.57	1.00	1.00	1.00	1.00
SDD-07	27.08	29.91	2.83	2.83	1.00	1.00
STP-02	27.57	31.40	3.83	3.83	1.00	1.00
ITP-02	27.57	30.57	3.00	3.00	1.00	1.00
ATP-05	28.32	30.32	2.00	2.00	1.00	1.00
ATP-06	30.32	31.32	1.00	1.00	1.00	1.00
ATP-07	30.32	33.49	3.17	3.17	1.00	1.00
ITP-04	30.57	32.74	2.17	2.17	1.00	1.00
ITP-05	30.57	33.57	3.00	3.00	1.00	1.00
ITP-03	30.57	35.74	5.17	5.17	1.00	1.00
STP-04	31.40	33.57	2.17	2.17	1.00	1.00
STP-03	31.40	36.40	5.00	5.00	1.00	1.00
ATP-08	33.49	35.66	2.17	2.17	1.00	1.00
STP-05	33.57	37.57	4.00	4.00	1.00	1.00
ITP-06	33.57	35.15	1.58	1.58	1.00	1.00
CUT-04(DS)	35.15	42.48	7.33	7.33	1.00	1.00
CUT-04(CS)	35.15	42.48	7.33	7.33	1.00	1.00
CUT-04(EV)	35.15	61.58	26.43	7.33	1.00	0.28
STP-06	37.57	39.15	1.58	1.58	1.00	1.00
CUT-05(DS)	42.48	46.65	4.17	4.17	1.00	1.00
CUT-05(CS)	42.48	46.65	4.17	4.17	1.00	1.00
CUT-06(DS)	46.65	51.65	5.00	5.00	1.00	1.00
CUT-06(CS)	46.65	51.65	5.00	5.00	1.00	1.00
CUT-07(DS)	51.65	53.82	2.17	2.17	1.00	1.00
CUT-07(CS)	51.65	53.82	2.17	2.17	1.00	1.00
CUT-08(CS)	53.82	57.99	4.17	4.17	1.00	1.00
CUT-08(DS)	53.82	57.99	4.17	4.17	1.00	1.00
AT-01(CS)	57.99	58.99	1.00	1.00	1.00	1.00
AT-01(DS)	57.99	58.99	1.00	1.00	1.00	1.00
AT-02(DS)	58.99	61.99	3.00	3.00	1.00	1.00
AT-02(CS)	58.99	61.99	3.00	3.00	1.00	1.00
CUT-05(EV)	61.58	65.75	4.17	4.17	1.00	1.00
AT-03(CS)	61.99	64.99	3.00	3.00	1.00	1.00
AT-03(DS)	61.99	64.99	3.00	3.00	1.00	1.00
AT-04(CS)	64.99	68.16	3.17	3.17	1.00	1.00
AT-04(DS)	64.99	68.16	3.17	3.17	1.00	1.00
CUT-06(EV)	65.75	70.75	5.00	5.00	1.00	1.00
AT-05(CS)	68.16	72.99	4.83	4.83	1.00	1.00
AT-05(DS)	68.16	72.99	4.83	4.83	1.00	1.00
CUT-07(EV)	70.75	72.92	2.17	2.17	1.00	1.00
CUT-08(EV)	72.92	77.09	4.17	4.17	1.00	1.00
AT-01(EV)	77.09	78.09	1.00	1.00	1.00	1.00
AT-02(EV)	78.09	81.09	3.00	3.00	1.00	1.00
AT-03(EV)	81.09	84.09	3.00	3.00	1.00	1.00
AT-04(EV)	84.09	87.26	3.17	3.17	1.00	1.00
AT-05(EV)	87.26	92.09	4.83	4.83	1.00	1.00
Unlinked tasks:
