slrn/0.9.7.4 (NetBSD),2
tin/pre-1.4-19990927 ("Nine While Nine") (UNIX) (Linux/2.4.18,11
Gnus/5.110003 (No Gnus v0.3) Emacs/21.3 (gnu/linux),13
Mozilla/5.0 (Windows; U; Win98; fr-FR; rv,2
tin/1.6.2-20030910 ("Pabbay") (UNIX) (Linux/2.4.23 (i686)),2
KNode/0.7.2,730
KNode/0.7.1,4
KNode/0.7.6,85
KNode/0.7.7,264
Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US;,1254
Internet Mail Service (5.5.2657.72),144
Mozilla Thunderbird 0.7 (X11/20040618),1
tin/1.6.2-20030910 ("Pabbay") (UNIX) (FreeBSD/4.9-RELEASE (i386)),2
Mozilla 4.76 [en] (Windows NT 5.0; U),1
MT-NewsWatcher/3.1 (PPC),17
"Lynx, Version 2.8.3dev.8",1
Mozilla Thunderbird 0.5b (Windows/20040201),2
Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv,9
VM 7.17 under 21.5  (beta17) "chayote" (+CVS-20040429) XEmacs Lucid,29
XanaNews/1.16.1.13,3
MacSOUP/2.6 (unregistered),2
Internet Messaging Program (IMP) 3.2.1,3
Mutt/1.2i,2
Mozilla Thunderbird 0.6 (X11/20040605),8
Pan/0.13.3 (That cat's something I can't explain),48
Agent 3.0,2
slrn/0.9.8.0-jwk4 (CYGWIN_NT-5.0),5
"Microsoft Outlook CWS, Build 9.0.2416 (9.0.2911.0)",3
KMail/1.4.1,3
Gnus/5.0808 (Gnus v5.8.8) Emacs/21.3,1
Thoth/1.7.2 (Carbon/OS X),31
XPN/0.2.7 (The Best of Both Worlds),1
Gnus/5.090019 (Oort Gnus v0.19) Emacs/21.2 (gnu/linux),3
WebMail Version 2.0,3
Mozilla/5.0 (X11; U; Linux i586; en-US; rv,13
The Mailman Replybot,1
WWW-Mail 1.6 (Global Message Exchange),3
MacSOUP/2.6b4 (Mac OS X version 10.2.8),4
Sylpheed version 0.9.9 (GTK+ 1.2.10; i686-pc-linux-gnu),11
Mew version 3.2 on Emacs 21.3 / Mule 5.0 (SAKAKI),1
Gnus/5.0808 (Gnus v5.8.8) XEmacs/21.4 (Native Windows TTY Support,1
Sylpheed version 0.9.10 (GTK+ 1.2.10; i686-pc-linux-gnu),2
Divmod-Quotient/0.8.8,1
Mozilla Thunderbird 0.7.1 (X11/20040626),52
slrn/0.9.8.0 (Linux),282
Gnus/5.1002 (Gnus v5.10.2) Emacs/21.2 (gnu/linux),10
Mozilla/5.0 (X11; U; Linux i686; uk-UA; rv,3
MacSOUP/D-2.6b4 (Mac OS X version 10.3.2),1
"Gnus/5.1006 (Gnus v5.10.6) XEmacs/21.5 (chayote, windows-nt)",5
nn/6.6.2+RFC1522,1
"Gnus/5.1002 (Gnus v5.10.2) XEmacs/21.4 (Rational FORTRAN,",170
exmh version 2.6.3 04/04/2003 with nmh-1.1-RC1,20
Forte Agent 2.0/32.640 trialware,4
tin/1.4.4-20000803 ("Vet for the Insane") (UNIX) (SunOS/5.8,1
"Opera M2/7.51 (Linux, build 689)",2
VM 7.17 under 21.5 (beta16) "celeriac" (+CVS-20040209) XEmacs Lucid,143
Python smtplib,1
Dylan's Cheese Reader/1.0,2
Mozilla Thunderbird 0.7 (X11/20040623),14
tin/1.5.13-20020703 ("Chop Suey!") (UNIX) (Linux/2.4.18 (i686)),62
Turnpike/6.02-U (<DOA+N1zqnTj$njeugABBCAMA5c>),1
Internet Messaging Program (IMP) 3.1,4
Internet Messaging Program (IMP) 3.0,3
Lotus Notes Release 5.0.3 (Intl) 21 March 2000,8
tin/1.5.12-20020311 ("Toxicity") (UNIX) (Linux/2.4.26-rc2-skas,1
"Opera M2/7.50 (Linux, build 673)",51
tin/1.6.1-20030810 ("Mingulay") (UNIX) (Linux/2.6.1 (i686)),4
"Gnus/5.1002 (Gnus v5.10.2) XEmacs/21.5 (celeriac, windows-nt)",3
Mozilla Thunderbird 0.6 (X11/20040519),17
